,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position
147,Solomon Burke,2001,15,10,,,,26.0,22.0
148,Lovin' Spoonful,2000,9,1,,,,14.0,1.0
149,The Moonglows,2000,14,6,,,,3.0,20.0
150,Del Shannon,1999,13,7,,,,17.0,1.0
151,Dusty Springfield,1999,9,2,,,1.0,19.0,2.0
152,Paul McCartney,1999,6,1,,,,48.0,1.0
153,The Staple Singers,1999,13,1,,,,15.0,1.0
154,The Eagles,1998,0,1,,,,21.0,1.0
155,Gene Vincent,1998,12,7,,,,5.0,7.0
156,Lloyd Price,1998,12,7,,,,10.0,1.0
157,The Mamas and the Papas,1998,6,2,,,1.0,16.0,1.0
158,The Bee Gees,1997,6,2,,,,43.0,1.0
159,Buffalo Springfield,1997,4,4,,,1.0,5.0,7.0
160,"Crosby, Stills and Nash",1997,2,1,,,,13.0,7.0
161,The Jackson Five,1997,3,4,,,,33.0,1.0
162,Parliament-Funkadelic,1997,1,2,,,,13.0,15.0
163,The (Young) Rascals,1997,5,4,,,,18.0,1.0
164,Gladys Knight and the Pips,1996,10,5,,,,40.0,1.0
165,Jefferson Airplane,1996,4,2,,,2.0,8.0,5.0
166,Little Willie John,1996,10,8,,,,14.0,13.0
167,The Shirelles,1996,9,3,,,,26.0,1.0
168,Al Green,1995,2,1,,,3.0,20.0,1.0
169,The Allman Brothers Band,1995,0,1,,,1.0,11.0,2.0
170,Martha and the Vandellas,1995,6,3,,,,23.0,2.0
171,The Animals,1994,4,3,,,,19.0,1.0
172,Duane Eddy,1994,8,8,,,,27.0,4.0
173,The Grateful Dead,1994,1,2,,,1.0,6.0,9.0
174,Etta James,1993,7,2,,,1.0,26.0,23.0
175,Frankie Lymon and the Teenagers,1993,7,8,,,,5.0,13.0
176,Ruth Brown,1993,7,6,,,,7.0,24.0
177,Sly and the Family Stone,1993,0,1,,,,19.0,1.0
178,"Bobby ""Blue"" Bland",1992,6,6,,,1.0,37.0,20.0
179,Booker T. and the M.G.'s,1992,4,3,,,,17.0,3.0
180,The Isley Brothers,1992,6,1,,,,41.0,2.0
181,The Jimi Hendrix Experience,1992,0,1,,,3.0,7.0,20.0
182,Sam & Dave,1992,0,1,,,,13.0,2.0
183,Ike and Tina Turner,1991,5,5,,,,20.0,4.0
184,The Impressions,1991,2,3,,,,38.0,4.0
185,Jimmy Reed,1991,5,6,,,,12.0,32.0
186,John Lee Hooker,1991,5,1,,,1.0,1.0,60.0
187,LaVern Baker,1991,5,6,,,,19.0,6.0
188,Wilson Pickett,1991,2,3,,,,38.0,6.0
189,Bobby Darin,1990,4,5,,,,41.0,1.0
190,The Four Seasons,1990,2,3,,,,42.0,1.0
191,The Four Tops,1990,4,2,,,,43.0,1.0
192,Hank Ballard,1990,4,5,,,,13.0,6.0
193,The Platters,1990,4,3,,,,40.0,1.0
194,Simon and Garfunkel,1990,0,1,,,,18.0,1.0
195,Dion,1989,3,3,,,,30.0,1.0
196,The Drifters,1988,2,1,,,1.0,36.0,1.0
197,The Supremes,1988,2,3,,,,45.0,1.0
198,B. B. King,1987,1,2,,,,35.0,15.0
199,Big Joe Turner,1987,1,2,,,,2.0,41.0
200,Bill Haley,1987,1,2,,,,22.0,1.0
201,Bo Diddley,1987,1,1,,,1.0,5.0,20.0
202,Carl Perkins,1987,1,2,,,,5.0,2.0
203,Clyde McPhatter,1987,1,2,,,,21.0,6.0
204,The Coasters,1987,1,2,,,,19.0,1.0
205,Eddie Cochran,1987,1,2,,,,7.0,8.0
206,Jackie Wilson,1987,1,2,,,1.0,53.0,4.0
207,Ricky Nelson,1987,1,2,,,,53.0,1.0
208,Roy Orbison,1987,1,2,,,,31.0,1.0
209,Smokey Robinson,1987,1,2,,,,43.0,1.0
210,The Everly Brothers,1986,0,1,,,,38.0,1.0
211,Fats Domino,1986,0,1,,,,66.0,2.0
212,Jerry Lee Lewis,1986,0,1,,,1.0,18.0,2.0
213,Little Richard,1986,0,1,,,1.0,21.0,6.0
