Artist,Year Inducted,Years Waited,# of Years Nominated,Inducted By
The Ink Spots,1989,*,*,Bobby McFerrin
The Soul Stirrers,1989,*,*,Al Green
The Beach Boys,1988,0,1,Elton John
The Beatles,1988,0,1,Mick Jagger
Bob Dylan,1988,0,1,Bruce Springsteen
The Drifters,1988,2,1,Billy Joel
The Supremes,1988,2,3,Little Richard
"Berry Gordy, Jr.",1988,*,*,Ahmet Ertegun
Lead Belly,1988,*,*,Pete Seeger
Les Paul,1988,*,*,Jeff Beck
Woody Guthrie,1988,*,*,Neil Young
Aretha Franklin,1987,1,2,Keith Richards
B. B. King,1987,1,2,Sting
Big Joe Turner,1987,1,2,Doc Pomus
Bill Haley,1987,1,2,Chuck Berry
Bo Diddley,1987,1,1,ZZ Top
Carl Perkins,1987,1,2,Sam Phillips
Clyde McPhatter,1987,1,2,Ben E. King
The Coasters,1987,1,2,Lester Sill
Eddie Cochran,1987,1,2,Mick Jones
Jackie Wilson,1987,1,2,Peter Wolf
Marvin Gaye,1987,1,2,Nick Ashford and Valerie Simpson
Muddy Waters,1987,1,2,Paul Butterfield
Ricky Nelson,1987,1,2,John Fogerty
Roy Orbison,1987,1,2,Bruce Springsteen
Smokey Robinson,1987,1,2,Daryl Hall and John Oates
Ahmet Ertegun,1987,*,*,Jann S. Wenner and Walter Yetnikoff
Jerry Leiber and Mike Stoller,1987,*,*,Brian Wilson
Jerry Wexler,1987,*,*,Jann S. Wenner
Leonard Chess,1987,*,*,Ewart Abner
Hank Williams,1987,*,*,Seymour Stein
Louis Jordan,1987,*,*,Seymour Stein
T-Bone Walker,1987,*,*,Seymour Stein
Buddy Holly,1986,0,1,John Fogerty
Chuck Berry,1986,0,1,Keith Richards
Elvis Presley,1986,0,1,Julian and Sean Lennon
The Everly Brothers,1986,0,1,Neil Young
Fats Domino,1986,0,1,Billy Joel
James Brown,1986,0,1,Steve Winwood
Jerry Lee Lewis,1986,0,1,Hank Williams Jr.
Little Richard,1986,0,1,Roberta Flack
Ray Charles,1986,0,1,Quincy Jones
Sam Cooke,1986,0,1,Herb Alpert
Alan Freed,1986,*,*,Norm N. Nite and Scott Muni
Sam Phillips,1986,*,*,Jerry Lee Lewis
John Hammond,1986,*,*,Ahmet Ertegun
Jimmie Rodgers,1986,*,*,Jerry Wexler
Jimmy Yancey,1986,*,*,Ahmet Ertegun
Robert Johnson,1986,*,*,Robert Palmer (writer)
Def Leppard,2019,13,1,
Janet Jackson,2019,11,3,
Radiohead,2019,1,2,
Roxy Music,2019,21,1,
Stevie Nicks,2019,12,1,
The Cure,2019,14,2,
The Zombies,2019,29,4,
