Row Labels,Top 100 Singles,Highest Position
Toto,14,1
The Ventures,14,2
Zac Brown Band,14,18
Sugarland,14,17
Tavares,14,10
Ringo Starr,14,1
Sergio Mendes & Brasil '66,14,4
Sonny James,14,1
Searchers,14,3
Ronnie Milsap,14,5
Melissa Manchester,14,5
Nas,14,12
Olympics,14,8
Ne-Yo,14,1
Peter & Gordon,14,1
Paula Abdul,14,1
Percy Sledge,14,1
Ohio Players,14,1
Luke Bryan,14,15
The Mamas and the Papas,16,1
Little Willie John,14,13
Kansas,14,6
Maroon 5,14,1
Lovin' Spoonful,14,1
Jerry Lee Lewis,18,2
John Cougar Mellencamp,14,2
Don Gibson,14,7
Eydie Gorme,14,7
Eddie Kendricks,14,1
Frankie Laine,14,3
Fabolous,14,4
Doris Day,14,2
Eurythmics,15,1
Ciara,14,1
Captain & Tennille,14,1
David Cook,14,3
The Cure,14,2
Cat Stevens,14,6
Cyndi Lauper,14,1
Demi Lovato,14,10
Aaliyah,14,1
Billy Preston,14,1
Boz Scaggs,14,3
38 Special,14,10
Atlanta Rhythm Section,14,7
SWV,13,1
Stevie Nicks,14,3
Tommy James,13,4
Trini Lopez,13,3
Steppenwolf,13,2
Rick Ross,13,17
Red Hot Chili Peppers,13,2
Sam & Dave,13,2
Poco,13,17
Patsy Cline,13,9
Miranda Lambert,13,20
Motley Crue,13,6
New Kids on The Block,13,1
Laura Branigan,13,2
Little Richard,21,6
Kay Starr,13,1
Loverboy,13,9
Jerry Wallace,13,8
Jody Watley,13,2
Herb Alpert,13,1
Guns N' Roses,13,1
Isaac Hayes,14,1
Jackie DeShannon,13,4
Hank Ballard,13,6
Grand Funk Railroad,13,22
George Benson,13,4
Gary Allan,13,25
Eric Carmen,13,2
Don Henley,13,3
En Vogue,13,2
Four Preps,13,2
Georgia Gibbs,13,1
Edwin Starr,13,1
Frankie Valli,13,1
Eddie Rabbitt,13,1
Destiny's Child,13,1
Charlie Rich,13,1
David Guetta,13,4
Chordettes,13,2
Dan Fogelberg,13,2
Association,13,1
Bob Seger & The Silver Bullet Band,13,2
Billy Idol,13,1
Air Supply,13,1
Babyface,13,4
Bing Crosby,13,7
Bread,13,1
Whispers,12,7
Young Jeezy,12,4
Vanessa Williams,12,1
Tevin Campbell,12,6
Tokens,12,1
Train,12,3
Ricky Martin,12,1
Sammy Hagar,12,13
Quincy Jones,12,14
Rita Coolidge,12,2
Seals & Crofts,12,6
Roxette,12,1
The Police,13,1
Poison,12,1
Missy 'Misdemeanor' Elliott,12,2
One Direction,12,2
K.C & The Sunshine Band,12,1
LeAnn Rimes,12,2
Major Lance,12,5
Lou Christie,12,1
Jimmy Reed,12,32
Johnny Cash & The Tennessee Two,12,11
Ja Rule,12,1
Jacksons,12,6
Goo Goo Dolls,12,8
Joe Nichols,12,27
Jimmy Dean,12,1
Expose,12,1
Fat Joe,12,2
Glenn Frey,12,2
Faith Evans,12,7
Game,12,2
Bachman-Turner Overdrive,12,1
Andy Kim,12,1
Akon,12,1
Billy Currington,12,27
Billy Ocean,12,1
Billy Stewart,12,10
Todd Rundgren,14,5
Tennessee Ernie Ford,11,1
Timi Yuro,11,4
Stevie B,11,1
Van Morrison,11,9
Thompson Twins,11,3
The Shangri-Las,11,1
Shakira,11,1
Starship,11,1
Salt-N-Pepa,11,3
Rusty Draper,11,3
Peggy Lee,11,8
Mitch Miller & His Orchestra,11,8
Night Ranger,11,5
Pet Shop Boys,11,1
Osmonds,11,1
Moments,11,3
Marvin Gaye & Tammi Terrell,11,5
Judy Collins,11,8
Linda Scott,11,3
Jose Feliciano,11,3
Main Ingredient,11,3
Juice Newton,11,2
Jimmy Clanton,11,5
Howard Jones,11,4
Gordon Lightfoot,11,1
Jimmy Smith,11,51
Jimmy Buffett,11,8
Jodeci,11,4
Joe,11,1
Johnny Nash,11,1
Fleetwoods,11,1
Dickie Goodman,11,4
Ginuwine,11,4
Gale Storm,11,2
The Flamingos,11,11
Eric Church,11,19
Gerry & The Pacemakers,11,4
Ferrante & Teicher,11,2
Floyd Cramer,11,2
DJ Khaled,11,10
Firefall,11,9
DMX,11,27
Bruno Mars,11,1
Crystal Gayle,11,2
Debbie Gibson,11,1
Crew-Cuts,11,3
Daughtry,11,4
Craig Morgan,11,45
Cover Girls,11,8
Bananarama,11,1
Bill Doggett,11,2
Bobby Brown,11,1
Billy Squier,11,15
Archie Bell & The Drells,11,1
The Animals,19,1
Brenda & The Tabulations,11,20
Anita Baker,11,3
Barbara Mason,11,5
Bill Withers,11,1
The Allman Brothers Band,11,2
Adam Wade,11,5
Anita Bryant,11,5
112,11,4
Bert Kaempfert & His Orchestra,11,1
Twista,10,1
Timbaland,10,1
Wiz Khalifa,10,1
Tommy Sands,10,2
Tony Toni Tone,10,7
Tymes,10,1
Supertramp,10,6
Tammy Wynette,10,19
Yes,10,1
Weird Al Yankovic,10,9
Tony Orlando & Dawn,10,1
Taylor Dayne,10,1
Sean Paul,10,1
Rick James,11,13
Pussycat Dolls,10,2
Sarah McLachlan,10,3
Ray Price,10,11
Ramsey Lewis,10,19
O.C. Smith,10,2
Prince & The Revolution,10,1
