Row Labels,Top 100 Singles,Highest Position
DeFranco Family,3,3
Chris DeBurgh,3,3
Dennis Coffey & The Detroit Guitar Band,3,6
Bruce Willis,3,5
Diana Ross & Marvin Gaye,3,12
Christopher Williams,3,49
Craig Campbell,3,83
Carl Carlton,3,6
Brooklyn Dreams,3,57
Cilla Black,3,26
Crispian St. Peters,3,4
Clay Aiken,3,1
Cuff Links,3,9
Brick,3,3
Curtis Stigers,3,9
Cliff Nobles & Co.,3,2
Daft Punk,3,2
Carl Smith,3,43
Daniel Boone,3,15
Carl Thomas,3,20
Candyman,3,9
Clipse,3,19
Dave Hollister,3,39
Clique,3,22
David Banner,3,7
Buck Owens & The Buckaroos,3,60
David Nail,3,40
Cobra Starship,3,7
Dazz Band,3,5
Buckcherry,3,9
Dean & Jean,3,32
Bucky Covington,3,58
Del Amitri,3,30
Corina,3,6
Denise Lopez,3,31
Cornbread & Biscuits,3,75
Deon Jackson,3,11
Count Basie,3,28
Dia Frampton,3,20
Counting Crows,3,28
Coven,3,26
Diana Ross & The Supremes & The Temptations,3,2
Average White Band,3,40
Billy Grammer,3,4
Amy Winehouse,3,9
Big Punisher,3,24
8th Day,3,11
Billy Lawrence,3,44
2 Unlimited,3,38
Adina Howard,3,70
Arthur Prysock,3,56
Big Time Rush,3,72
Al Casey,3,48
Alias,3,2
Biddu Orchestra,3,57
2 Live Crew,3,26
Blue Magic,3,8
Bob B. Soxx & The Blue Jeans,3,8
Bobby Taylor & The Vancouvers,3,29
Bob Corley,3,95
Betty Harris,3,23
Alphaville,3,65
Blackfoot,3,26
Bob Kuban & The In-Men,3,12
Ann-Margret,3,17
Bob Lind,3,5
Beverly Bremers,3,15
Bell Notes,3,6
Boyd Bennett & His Rockets,3,5
Barry McGuire,3,1
Big Bopper,3,6
Bob Seger System,3,17
Brantley Gilbert,3,49
Amerie,3,8
Black Box,3,8
Bells,3,7
Ann Peebles,3,38
A-Ha,3,1
Bardeux,3,36
Billy Swan,3,1
Black Keys,3,64
Art of Noise,3,31
3LW,3,23
Billy 'Crash' Craddock,3,16
Betty Madigan,3,31
Basia,3,26
A$AP Rocky,3,8
Bobby Blue Bland,3,42
Bonnie Pointer,3,11
Austin Roberts,3,9
Asher Roth,3,12
Baltimora,3,13
Applejacks,3,16
Bobby Byrd,3,69
[unknown],3,3
Bobby Caldwell,3,9
Boy Meets Girl,3,5
Bobby Comstock & The Counts,3,52
Barbara Acklin,3,15
Angie Stone,3,52
Amazing Rhythm Aces,3,14
Aaron Hall,3,14
Brand New Heavies,3,51
Alisha,3,54
Big Brother & The Holding Company,3,12
BBMak,3,13
Big Country,3,17
Bobby Hebb,3,2
B. Bumble & The Stingers,3,21
Barbara Mandrell,3,31
Barbara George,3,3
Wu-Tang Clan,2,60
Warner Mack,2,61
Steel Breeze,2,16
T.O.K.,2,85
White Plains,2,13
Steve Wariner,2,30
Zedd,2,8
Tim McGraw & Faith Hill,2,7
Wa Wa Nee,2,35
Timbaland & Magoo,2,37
We Five,2,3
Times Two,2,21
Thin Lizzy,2,12
Timothy B. Schmit,2,25
Young Gunz,2,14
Tin Tin,2,20
Vengaboys,2,26
Steelheart,2,23
Virtues,2,5
Ting Tings,2,39
Terri Gibbs,2,13
Tinie Tempah,2,12
Terry McDermott,2,70
Titus Turner,2,77
Sugarloaf & Jerry Corbetta,2,9
Tag Team,2,2
Sunny & The Sunliners,2,45
Tom Cochrane,2,6
Winstons,2,7
Tom Edwards,2,57
Yeah Yeah Yeahs,2,87
Tommy Charles,2,43
Young-Holt Unlimited,2,3
Tommy Conwell & The Young Rumblers,2,48
Velvet Revolver,2,56
Tommy Dorsey Orchestra Starring Warren Covington,2,7
Verdelle Smith,2,38
Stompers,2,88
Steve Martin,2,72
Stone Sour,2,39
Voice of The Beehive,2,74
Tommy Tucker,2,11
Wade Hayes,2,67
Tommy Tutone,2,4
Terror Squad,2,1
Toni Arden,2,13
Waterfront,2,10
Stonebolt,2,29
Terry Stafford,2,3
Tamar Braxton,2,57
West Street Mob,2,88
Tami Davis,2,63
When In Rome,2,11
Tony Clarke,2,31
Wilkinsons,2,53
Tami Show,2,28
Theola Kilgore,2,21
Tornadoes,2,1
Think,2,23
Touch,2,65
Wreckers,2,34
Toussaint McCall,2,52
Yankee Grey,2,55
Toya,2,16
Thomas Wayne & The DeLons,2,5
Tank,2,38
Young The Giant,2,65
Tracey Ullman,2,8
Zac Efron,2,23
Tanto Metro & Devonte,2,85
Velvelettes,2,45
Steve Forbert,2,11
Velvets,2,26
Swingin' Medallions,2,17
Vera Lynn,2,55
Trade Winds,2,32
Veronicas,2,17
Susanna Hoffs,2,30
Victor Young & His Singing Strings,2,13
Trapt,2,16
Vincent Edwards,2,68
Trashmen,2,4
Teri DeSario & K.C.,2,2
Traveling Wilburys,2,45
Voices of Theory,2,10
Travie McCoy,2,4
Wade Flemons,2,70
Street People,2,36
Waikikis,2,33
Trick Pony,2,47
Scott Walker,3,13
Trillville,2,14
Wanderers,2,88
Taylor Hicks,2,1
Warren Zevon,2,21
T-Bones,2,3
Waylon,2,21
T-Connection,2,46
Wayne Fontana & The Mindbenders,2,1
Tweet,2,7
Wayne Newton & The Newton Brothers,2,13
Sutherland Brothers & Quiver,2,48
Wes Montgomery,2,44
Style Council,2,29
Wet Wet Wet,2,41
U.N.V.,2,29
Whatnauts,2,71
Status Quo,2,12
Whistle,2,35
Ugly Kid Joe,2,6
Whodini,2,87
U-Krew,2,24
Will Glahe & His Orchestra,2,16
Swizz Beatz,2,83
Synch,2,10
Underworld,2,67
William DeVaughn,2,4
Suzanne Vega,2,3
Willow,2,11
Union Gap,2,2
Wink Martindale,2,7
Uniques,2,66
Woody Herman & His Orchestra,2,75
Unit Four Plus Two,2,28
Wreckx-N-Effect,2,2
Unk,2,10
Xenia,2,92
Stephen Stills & Manassas,2,56
Sweeney Todd,2,90
V.I.C.,2,29
Thomas Rhett,2,25
Valjean,2,28
Steam,2,1
Susan Boyle,2,62
Three Chuckles,2,67
Tee Set,2,5
YoungBloodZ,2,4
Teegarden & Van Winkle,2,22
Yung Berg,2,18
Subway,2,0
Zapp & Roger,2,43
Vanity,2,56
Ziggy Marley & The Melody Makers,2,39
Velours,2,83
Zwol,2,75
Ramblers,2,73
San Remo Golden Strings,2,27
Rod Bernard,2,20
Roy Brown,2,29
Spellbinders,2,93
Red Sovine,2,40
Slim Harpo,2,16
Sensations,2,4
Regents,2,13
Serendipity Singers,2,6
Sanford Clark,2,7
Sha Na Na,2,55
Spyder Turner,2,12
Raeletts,2,58
Skyy,2,26
Shades,2,50
The Small Faces/The Faces,4,16
Robbie Patton,2,26
Samantha Mumba,2,4
Robbie Williams,2,53
Roger,2,3
Robert & Johnny,2,32
Quad City DJ's,2,3
Raymond Lefevre & His Orchestra,2,30
Sounds Orchestral,2,10
Shakespear's Sister,2,4
Ronnie McDowell,2,13
Royalettes,2,41
Stacie Orrico,2,30
Shana,2,40
Stargard,2,21
Randy & The Rainbows,2,10
Re-Flex,2,24
Royaltones,2,17
Sam & Bill,2,95
Rozalla,2,37
Rockwell,2,2
Reddings,2,55
Smokie,2,25
Sharon Bryant,2,34
Sneaker Pimps,2,45
Richie Rich,2,57
Sammi Smith,2,8
Shawn Christopher,2,67
Sonny Charles,2,13
Shawn Phillips,2,63
Relient K,2,58
Shawnna,2,31
Soul for Real,2,0
She Moves,2,32
Soul Train Gang,2,75
Rag Dolls,2,55
Rene & Rene,2,14
Robert Miles,2,21
Satisfactions,2,94
Shelby Flint,2,22
Reparata & The Delrons,2,60
Ruby Winters,2,97
Scott English,2,77
Ruby Wright,2,41
Roscoe Dash,2,46
Shepherd Sisters,2,18
Secondhand Serenade,2,21
Sheriff,2,1
Rover Boys,2,16
Sherrys,2,35
Saliva,2,51
Ruff Endz,2,5
Rocko,2,20
Rufus & Carla,2,92
Slum Village,2,55
Shirley & Company,2,12
Sly Fox,2,7
Redeye,2,27
Sam Harris,2,36
Raheem DeVaughn,2,76
Rocky Fellers,2,16
Shirley Brown,2,22
Raphael Saadiq,2,99
Smooth,2,49
RuPaul,2,45
Sneaker,2,34
Shontelle,2,13
Snow,2,1
Robert Parker,2,7
Sami Jo,2,21
Pure Soul,2,79
Rodney -O- & Joe Cooley,2,84
Showmen,2,61
Sonny,2,10
Shwayze,2,23
Ray Smith,2,22
Russ Morgan,2,19
Sons of Champlin,2,47
Silencers,2,81
Sopwith Camel,2,26
Rick Dees & His Cast of Idiots,2,1
Rome,2,6
Silkk The Shocker,2,18
Ray Ellis & His Orchestra,2,81
Robert Tepper,2,22
Ron Banks & The Dramatics,2,47
Randy Newman,3,2
Sapphires,2,25
Q-Tip,2,26
Right Said Fred,2,1
Robin Gibb,2,15
Ronnie Dunn,2,62
Robin McNamara,2,11
Raydio,2,8
Sinead O'Connor,2,1
Ronnie Hawkins,2,45
Siouxsie & the Banshees,2,23
Raekwon,2,0
Sad Cafe,2,71
Springfields,2,20
RBD,2,65
Republica,2,56
Safaris,2,6
Scott McKenzie,2,4
Sister Hazel,2,11
Red Jumpsuit Apparatus,2,24
Six Teens,2,25
Rose Colored Glass,2,54
Queens of The Stone Age,2,51
Rivingtons,2,48
Robyn,2,7
Rob Base & D.J. E-Z Rock,2,36
Sage The Gemini,2,29
Routers,2,19
Sagittarius,2,70
Red Rider,2,48
Rockell,2,61
Sammy Kaye & His Orchestra,2,36
Sam Salter,2,51
Pratt & McClain,2,5
Ned Miller,2,6
Paul Kelly,2,49
Nice & Smooth,2,44
Pia Zadora,2,36
Nick Cannon,2,24
Patti Smith,2,13
Mrs. Miller,2,82
Mona Lisa,2,65
Nick Lachey,2,6
Peter Schilling,2,14
Nick Todd,2,21
Miss Toni Fisher,2,3
Nicole Scherzinger,2,39
Mello-Kings,2,77
Nielsen & Pearson,2,38
Natural Four,2,31
Mtume,2,45
Mike Pedicin Quintet,2,71
Night,2,18
Mountain,2,21
Nightcrawlers,2,80
Mouth & MacNeal,2,8
Nine Days,2,6
Neon Philharmonic,2,17
Mercy,2,2
Melanie Fiona,2,43
Nite-Liters,2,39
New England,2,40
Modest Mouse,2,61
Pretty Poison,2,8
Noel,2,47
Patti LaBelle & Her Blue Belles,2,34
Noel Harrison,2,51
Mother's Finest,2,58
Nona Hendryx,2,58
Paul Gayten,2,68
Norah Jones,2,30
Paul Nicholas,2,6
Norman Connors,2,27
Paula Cole,2,8
Moon Martin,2,30
Peabo Bryson & Regina Bell,2,1
Norman Petty Trio,2,56
Pepsi & Shirlie,2,66
Michael Martin Murphey,2,39
Pete Rock & C.L. Smooth,2,58
Music Explosion,2,2
Nella Dodds,2,74
Music Machine,2,15
Mindbenders,2,2
Nutty Squirrels,2,14
Nervous Norvus,2,8
Nylons,2,12
Planet Soul,2,73
McGuffey Lane,2,85
Miriam Makeba,2,12
Musical Youth,2,10
MissJones,2,62
Oak,2,58
Portrait,2,11
Meredith Brooks,2,2
Presidents,2,11
Merle Haggard,2,28
Prince & Sheena Easton,2,2
Prodigy,2,30
Merry-Go-Round,2,63
Psy,2,2
Natalie,2,13
Myron,2,47
Natalie Imbruglia,2,42
Michael Penn,2,13
Nate Dogg,2,18
Oingo Boingo,2,45
Natural Selection,2,2
Michael Sembello,2,1
Paul Hardcastle,2,15
O'Kaysions,2,5
Paul Mauriat & His Orchestra,2,1
Mystic Moods,2,83
Paul Peek,2,84
Olly Murs,2,25
Nazareth,2,8
One to One,2,92
Nazz,2,66
Michel Polnareff,2,48
PC Quest,2,41
Mystics,2,20
Pentagons,2,48
Orpheus,2,80
Peppermint Rainbow,2,32
Michelle Chamuel,2,85
Perry Como & Jaye P. Morgan,2,12
Other Ones,2,29
Pete Fountain,2,69
Moe Koffman Quartette,2,23
Millie Small,2,2
N2Deep,2,14
Peter Brown & Betty Wright,2,8
Maynard Ferguson,2,28
Maurice White,2,50
Nancy Ames,2,89
Peter Tosh,2,81
Ovations,2,56
Moving Pictures,2,29
Owen Bradley Quintet,2,18
Neon Trees,2,6
Owl City,2,1
Minnie Riperton,2,1
Merril Bainbridge,2,4
Metro Station,2,10
Merrilee Rush,2,54
Plastic Ono Band,2,14
Merrilee Rush & The Turnabouts,2,7
Playa,2,38
Pacific Gas & Electric,2,14
Pleasure P,2,42
Napoleon XIV,2,3
Melanie Martinez,2,86
Mickey Newbury,2,26
Melba Moore,2,47
Morris Albert,2,6
Mista,2,53
Parliaments,2,20
New Hollow,2,86
Morris Day,2,23
Prelude,2,22
Narada Michael Walden,2,47
Preston Epps,2,14
Mob,2,71
New Vaudeville Band,2,1
Nashville Teens,2,14
Mitch Malloy,2,49
Nastyboy Klick,2,53
Newcity Rockers,2,80
Patrick Simmons,2,30
Pseudo Echo,2,6
Obie Trice,2,54
Mitch Miller Orchestra & Chorus,2,1
Odia Coates,2,71
Public Enemy,2,33
Odyssey,2,21
Otis Leavill,2,63
Kane Gang,2,36
Mark Chesnutt,2,17
Liquid Gold,2,45
Josh Groban,2,73
Kings,2,43
Looking Glass,2,1
Lonnie Gordon,2,79
Josh Kelley,2,79
Latimore,2,31
Jonathan King,2,17
Justin Hayward & John Lodge,2,47
Juliana Hatfield,2,97
Liz Phair,2,32
Lorne Greene,2,1
Mass Production,2,43
Lorraine Ellison,2,64
Larks,2,7
Leroy Holmes & His Orchestra,2,59
Lisa Loeb,2,17
Knightsbridge Strings,2,53
Junior Parker,2,85
Los Indios Tabajaras,2,6
Mark Morrison,2,2
Kon Kan,2,15
King Harvest,2,13
Les Baxter, His Chorus & Orchestra,2
K.D. Lang,2,38
Lou Bega,2,3
Lee Ritenour,2,15
Lou Busch & His Orchestra,2,35
Loleatta Holloway,2,68
Kenny Lattimore,2,33
Matchbox 20,2,24
Lou Courtney,2,71
Link Wray,4,16
Kool Moe Dee,2,62
Kid Frost,2,42
LeToya,2,31
Lisa Keith,2,36
Julie Rogers,2,10
Marcie Blane,2,3
Letters to Cleo,2,0
Junior M.A.F.I.A.,2,17
Louie Louie,2,19
Little Caesar & The Romans,2,9
Kraftwerk,2,25
Mark IV,2,24
Louis Armstrong & The All Stars,2,1
Keane,2,50
Krewella,2,32
King Curtis & The Noble Knights,2,17
Kate Voegele,2,68
Little Sister,2,22
Love & Rockets,2,3
Jorgen Ingmann & His Guitar,2,2
Love & Theft,2,32
Living In A Box,2,17
Love Generation,2,74
Marvin Gaye & Kim Weston,2,14
Lidell Townsell & M.T.F.,2,26
Kajagoogoo,2,5
Kenny O'Dell,2,38
Lena Horne,2,19
LoveRance,2,46
Maskman & The Agents,2,91
Kris Kristofferson & Rita Coolidge,2,49
Lenny LeBlanc,2,55
Lovers,2,48
Matisyahu,2,28
Juliet Simms,2,70
Josie Cotton,2,74
Lightning Seeds,2,31
Mana,2,82
Lil' Boosie,2,38
Mandy Moore,2,24
Lucas Gabreel & Ashley Tisdale,2,35
Lipps, Inc.,2
Krokus,2,67
Lisa Fischer,2,11
Luis Fonsi,2,90
Larry Verne,2,1
Lil' Flip,2,2
Kid Ink,2,29
Kenny Rogers & Dolly Parton,2,1
Lasgo,2,35
KT Tunstall,2,20
Maria Muldaur,2,6
Lumidee,2,3
KC & The Sunshine Band,2,1
Lumineers,2,3
Little Caesar,2,79
Kurtis Blow,2,71
Mario Lanza,2,53
Lil Mama,2,10
Little Carl Carlton,2,75
Jon Astley,2,74
Jomanda,2,40
Lyfe Jennings,2,37
Little Jimmy Osmond,2,38
Lyn Collins,2,66
Keedy,2,15
Lil Rob,2,36
Jordan Hill,2,66
Lil Scrappy,2,28
Jordan Pruitt,2,54
M.C. Brains,2,21
Marsha Ambrosius,2,74
Kym Sims,2,38
Lee Allen & His Band,2,54
M.C. Luscious,2,61
Jon Bon Jovi,2,1
M2M,2,21
Martin Page,2,14
Kyu Sakamoto,2,1
Keith Washington,2,40
Mac McAnally,2,37
Kinleys,2,64
Lee Michaels,2,6
L.A. Guns,2,33
Marvin Gaye & Mary Wells,2,17
Limahl,2,17
Jon & Robin & The In Crowd,2,18
Kathy Troccoli,2,14
Jon & Vangelis,2,51
Lina Santiago,2,35
Len Dresslar,2,78
Kathy Young & The Innocents,2,3
Lo-Key?,2,27
LaBelle,2,1
Lolita,2,5
Magnificent Men,2,90
London Symphony Orchestra,2,10
Mahalia Jackson,2,69
Klaatu,2,62
Kevin Paige,2,18
Lenny Miles,2,41
Linda Ronstadt & Aaron Neville,2,11
Juelz Santana,2,6
Kevin Rudolf,2,5
Lonnie Donegan & His Skiffle Group,2,5
Lindisfarne,2,33
Jumpin' Gene Simmons,2,11
Johnny Winter,2,89
Johnny Hates Jazz,2,2
Jermaine Dupri,2,60
Hollywood Flames,2,11
Hamilton, Joe Frank & Dennison,2
Johnnie & Joe,2,8
Isley & Jasper & Isley,2,51
Jeff Healey Band,2,5
Gregory Abbott,2,1
Jackie Wilson & Count Basie,2,49
Jewel Akens,2,3
Jerry Jeff Walker,2,77
Jibbs,2,7
Hugo Winterhalter & His Orchestra,2,41
Isyss,2,71
Jessie J,2,6
James Ray,2,22
Joe Reisman & His Orchestra,2,46
Jill Corey & Jimmy Carroll,2,57
Innocents,2,28
Ivan Neville,2,26
G-Unit,2,13
Hullaballoos,2,56
Grayson Hugh,2,19
Impalas,2,2
Heaven Bound,2,79
Jamies,2,26
Jesse Belvin,2,31
Jan & Arnie,2,8
Jesse Winchester,2,32
Hank Snow,2,68
Johnny Maddox & The Rhythmasters,2,2
Herbie Hancock,2,42
Johnny Rodgriguez,2,70
Jim Weatherly,2,11
Holland-Dozier,2,52
Jan Bradley,2,14
Jackie Moore,2,30
Ian Whitcomb & Bluesville,2,8
Innocence,2,34
Jane Child,2,2
Joey Lawrence,2,19
Human Beinz,2,8
Gotye,2,1
Jane Olivor,2,77
Jeremy Jordan,2,14
Grand Puba,2,68
Howard Hewett,2,62
Hank Williams Jr.,2,67
Intro,2,33
Gnarls Barkley,2,2
Ike & Tina Turner & The Ikettes,2,34
J. Holiday,2,5
Ike Clanton,2,91
Jimmy Darren,2,41
Horace Brown,2,62
J.J. Barnes,2,61
Jesse Johnson,2,53
Ice-T,2,67
Hot Chelle Rae,2,7
Indigo Girls,2,52
Haddaway,2,11
Jasmine Guy,2,34
Johnny Kemp,2,10
Jimmy Hall,2,27
House of Lords,2,58
Jimmy Holiday,2,57
Jesus Jones,2,2
Icy Blu,2,46
Hurricane Smith,2,3
Jimmy James & The Vagabonds,2,76
Joe Jonas,2,30
Gordon MacRae,2,18
Jefferson,2,23
Ideal,2,13
Jackie Lee,2,14
Jack Blanchard & Misty Morgan,2,23
Joe South & The Believers,2,12
Ingrid Michaelson,2,37
Big Joe Turner,2,41
Ini Kamoze,2,1
Jelly Beans,2,9
High School Musical 2 Cast,2,6
Joey Heatherton,2,24
Jimmy Soul,2,1
Joey McIntyre,2,10
Jimmy Velvet,2,75
Jackie Wilson & Linda Hopkins,2,42
Grouplove,2,42
Inoj,2,6
Jive Bunny & The Mastermixers,2,11
Honeycombs,2,5
Jay Ferguson,2,9
John Hall Band,2,42
J-Kwon,2,2
Honeydrippers,2,3
Jack Nitzsche,2,39
John Lennon & The Plastic Ono Band,2,57
High School Musical Cast,2,34
Jacky Noguez & His Orchestra,2,63
Hudson & Landry,2,43
Greg Guidry,2,17
Highlights,2,19
Greg Kihn,2,30
Gorillaz,2,57
Jerry Lewis,2,10
Joanie Sommers,2,7
Jerry Reed & The Hully Girlies,2,79
Jack Ross,2,16
John Williams,2,13
Hugo Montenegro, His Orchestra & Chorus,2
Jodie Sands,2,15
Horst Jankowski, His Orchestra & Chorus,2
Grover Washington Jr.,2,54
Johnny Bond,2,26
Jody Reynolds,2,5
Jesse Johnson's Revue,2,61
Hillside Singers,2,13
Johnny Cash & The Tennessee Three,2,29
The J.B.'s,3,22
Jesse Powell,2,10
Joe Barry,2,24
Ironhorse,2,36
Joe Bennett & The Sparkletones,2,17
Johnny 'Guitar' Watson,2,41
Joe Budden,2,38
Jessie Hill,2,28
JC Chasez,2,35
Johnny Lee,2,5
Joe Cocker & The Chris Stainton Band,2,27
Johnny Maestro,2,20
Joe Cuba Sextet,2,62
Johnny Mathis & Deniece Williams,2,1
JD,2,29
Jesters,2,74
Inner City,2,73
Houston Person,2,91
Joe Harnell & His Orchestra,2,14
Johnny Thunder,2,4
Jackie De Shannon,2,7
GTR,2,14
James Ingram,2,1
Giorgio Moroder,2,33
Ed Sheeran,2,16
Franz Ferdinand,2,66
Elephant Man,2,57
Gene Loves Jezebel,2,68
Eleventh Hour,2,55
Four Jacks & A Jill,2,18
Elliott Yamin,2,13
Free Movement,2,5
Eloise Laws,2,91
Gary Glitter,2,7
Elton John & Kiki Dee,2,1
Edison Lighthouse,2,5
Don Johnson,2,5
Foster Sylvers,2,22
Don Omar,2,93
Four Voices,2,20
EMF,2,1
Freddie Mercury,2,69
Enchanters,2,91
Echoes,2,12
Enoch Light & The Light Brigade,2,48
Gallagher & Lyle,2,49
Enuff Z'Nuff,2,47
Eddie Murphy,2,2
EPMD,2,42
George Cates & His Orchestra,2,4
Eric Benet,2,21
Giant Steps,2,13
Eric Burdon & War,2,3
Glass House,2,59
Donna Lewis,2,2
Electric Prunes,2,11
Ernie Fields,2,4
Four Pennies,2,67
Donnie & The Dreamers,2,35
Dynamics,2,44
Dido,2,3
Fred Darian,2,96
Dick Dale,2,60
Eazy-E,2,42
Estelle,2,9
Ebonys,2,51
Etta & Harvey,2,52
Dog's Eye View,2,66
Etta James & Sugar Pie Desanto,2,96
Gabrielle,2,26
Eugene Wilde,2,76
Gang Starr,2,67
Eve 6,2,28
Gary Toms Empire,2,46
Disney's Friends for Change,2,20
Gene Allison,2,36
Everything but the Girl,2,68
Gene Thomas,2,53
Digable Planets,2,15
Edgar Winter's White Trash,2,70
Divine,2,1
Ghostface Killah,2,61
diVINYLS,2,4
Gina G,2,12
Eye to Eye,2,37
El DeBarge & DeBarge,2,46
Dorothy Morrison,2,95
Electric Indian,2,16
Faces,2,17
Foster the People,2,3
Faith Band,2,54
Dusk,2,53
Digital Underground,2,11
Do or Die,2,22
Falco,2,1
Dwight Yoakam,2,64
Falcons,2,17
Foxy,2,9
Fancy,2,14
Frank Ocean,2,32
Fastball,2,20
Freak Nasty,2,15
Dr. Buzzard's Original 'Savannah' Band,2,27
Fred Hughes,2,23
Father MC,2,20
Easybeats,2,16
Dixiebelles,2,9
Free,2,4
Dr. Feelgood & The Interns,2,66
Freeway,2,95
DJ Drama,2,90
Friend & Lover,2,10
Fess Parker,2,5
Frost,2,77
Field Mob,2,10
Fugees,2,49
Fiestas,2,11
Ed Townsend,2,13
Finger Eleven,2,6
Gale Garnett,2,4
Fireflies,2,21
Gamma,2,60
Dream,2,2
Dinah Washington & Brook Benton,2,5
Dream Academy,2,7
Gary Puckett,2,61
First Edition,2,5
Domenico Modugno,2,1
Dreamlovers,2,10
Eddie Platt & His Orchestra,2,20
Five Flights Up,2,37
Don & Juan,2,7
Dru Down,2,65
Eddie Schwartz,2,28
Flatt & Scruggs,2,55
Don & The Goodtimes,2,56
Duane Eddy & The Rebels,2,4
George Duke,2,41
Dukays,2,64
Edie Brickell & The New Bohemians,2,7
Flying Machine,2,5
Edmundo Ros & His Orchestra,2,75
Focus,2,9
Giant,2,20
Duke Jupiter,2,58
Eighth Wonder,2,56
Duke of Earl,2,1
Don Covay & The Goodtimers,2,35
Fontella Bass & Bobby McClure,2,33
Don Fardon,2,20
Fools,2,50
Glass Bottle,2,36
For Real,2,72
Elastica,2,0
Force M.D.'s,2,10
Glenn Yarbrough,2,12
Fort Minor,2,4
Fotomaker,2,63
Des'ree,2,5
Cashman & West,2,27
Chuck Wicks,2,56
Climax,2,3
Deele,2,10
Cerrone,2,36
Bryan Ferry,2,31
Cher Lloyd,2,12
David Foster,2,15
Cannonball Adderly,2,11
Casinos,2,6
Clivilles & Cole,2,1
Dell-Vikings,2,4
The Clovers,2,23
Calloway,2,2
Club Nouveau,2,1
Chuck Berry & His Combo,2,5
Clubland,2,79
David Ball,2,36
Capleton,2,0
David Hill,2,90
Clyde Stacy & The Nitecaps,2,68
Davy Jones,2,52
Charice,2,44
Cassie,2,3
Brenda Russell,2,6
Cadillacs,2,17
Bridgit Mendler,2,49
Cleddus Maggard & The Citizen's Band,2,19
Communards,2,40
Device,2,35
Carlos Santana & Buddy Miles,2,84
Danny Williams,2,9
Bruce & Terry,2,72
Burt Bacharach,2,93
Cookie & His Cupcakes,2,47
Chuck Miller,2,9
Diane Renay,2,6
Charlie Wilson,2,67
Chico DeBarge,2,21
David Castle,2,68
Corinne Bailey Rae,2,56
David Guetta & Chris Willis,2,31
Chief Keef,2,56
B-Witched,2,9
Corona,2,11
Davie Allan & The Arrows,2,97
Corrs,2,34
City High,2,8
Corsairs,2,12
Deane Hawley,2,29
Childish Gambino,2,86
Debelah Morgan,2,8
Bruce Cockburn,2,21
DeJohn Sisters,2,73
Brenda K. Starr,2,13
Deliverance,2,2
Bridgit Mendler, Adam Hicks, Naomi Scott & Haley Kiyoko
Chantay Savage,2,24
Bruce Hornsby,2,69
Derek & The Dominos,2,10
Bruce Springsteen & The E Street Band,2,8
Detergents,2,19
Chris Christian,2,37
Dexys Midnight Runners,2,1
Cate Brothers,2,24
Chely Wright,2,36
Chris Connor,2,34
Dante & The Evergreens,2,15
Carly Simon & James Taylor,2,5
Darrell Banks,2,27
Champaign,2,12
Dartells,2,11
Crazy Otto,2,19
Dashboard Confessional,2,44
Carmen McRae,2,75
Dave Dudley,2,32
Carol Douglas,2,11
Dave Loggins,2,5
Crime Mob,2,30
David & David,2,37
Chris Isaak,2,6
Chuckii Booker,2,42
Crooklyn Dodgers,2,60
David Essex,2,5
Chris Kenner,2,2
David Geddes,2,4
Carole Bayer Sager,2,30
David Hallyday,2,51
Buena Vistas,2,87
Bubba Sparxxx,2,7
Candlebox,2,18
Chartbusters,2,33
Crystal Mansion,2,73
Cindy Bullens,2,56
Cues,2,77
Davina,2,60
Charlie Ross,2,42
DAY26,2,79
The Cult,2,46
Clarence Reid,2,40
Christie,2,23
Carl Douglas,2,1
Curtis Lee,2,7
Death Cab for Cutie,2,60
Caravelles,2,3
Debbie Taylor,2,86
Cymarron,2,17
Deee-Lite,2,4
Cynthia,2,70
Carl Graves,2,50
Cyril Stapleton & His Orchestra,2,13
Carl Mann,2,25
Bullet,2,28
Claudja Barry,2,56
D Mob,2,10
Cage the Elephant,2,78
Christine McVie,2,10
Demensions,2,16
D4L,2,1
Checkmates, Ltd.,2
Bulletboys,2,71
Derek,2,11
Christion,2,53
Desmond Child,2,40
Christopher Wilde,2,57
Call,2,51
Carrie Lucas,2,64
Dev,2,11
Damian Dame,2,42
Cleopatra,2,26
Dana Valery,2,87
Buchanan Brothers,2,22
Daniel Bedingfield,2,10
Cheetah Girls,2,53
Charlie Ryan & The Timberline Riders,2,33
Buoys,2,17
Buddy Jewell,2,29
Craig Mack,2,9
Apollo 100,2,6
Blu Cantrell,2,2
Billy Strange,2,55
Arkade,2,60
Anita Ward,2,1
Arlo Guthrie,2,18
Brat Pack,2,36
Arrows,2,37
Black Oak Arkansas,2,25
AfroJack,2,41
Blur,2,59
After the Fire,2,5
Bobby Hendricks,2,25
Arthur Lyman Group,2,4
Bow Wow Wow,2,62
Artie The 1 Man Party,2,74
Amii Stewart,2,1
Artistics,2,55
Billy Williams Quartet,2,49
Ashley Parker Angel,2,12
Blake Lewis,2,18
A-Teens,2,93
Andy Taylor,2,24
Audrey,2,87
Bob Crewe Generation,2,15
Augustana,2,34
Bobby Curtola,2,41
Al Caiola & His Orchestra,2,19
Bobby Rydell & Chubby Checker,2,21
AWOLNATION,2,17
Born Jamericans,2,72
Axe,2,64
Boys,2,13
AZ Yet,2,8
Billy & The Beaters,2,39
5 Royales,2,66
Billy Preston & Syreeta,2,4
