,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,In_Out
150,Frank Zappa,1995.0,3,3,161.0,0.5,2.0,3.0,32.0,2.0,3.71,1
151,The Four Tops,1990.0,4,2,16.0,0.5,0.0,43.0,1.0,0.0,3.0,1
152,The Hollies,2010.0,20,1,16.0,0.5,0.0,23.0,2.0,0.0,3.1,1
153,The Stooges,2010.0,15,8,285.0,0.0,3.0,0.0,0.0,0.0,4.3,1
154,Muddy Waters,1987.0,1,2,200.0,0.0,3.0,0.0,0.0,0.0,3.46,1
155,The Velvet Underground,1996.0,4,5,425.0,0.0,4.0,0.0,0.0,0.0,4.3,1
156,Del Shannon,1999.0,13,7,0.0,0.0,0.0,17.0,1.0,0.0,3.44,1
157,The Yardbirds,1992.0,2,3,142.0,0.0,2.0,9.0,6.0,0.0,3.58,1
158,Darlene Love,2011.0,22,3,0.0,0.0,0.0,4.0,26.0,0.0,3.58,1
159,Nina Simone,2018.0,32,1,28.0,0.0,0.0,6.0,18.0,0.0,3.36,1
160,Dusty Springfield,1999.0,9,2,24.0,0.0,1.0,19.0,2.0,0.0,3.58,1
161,Percy Sledge,2005.0,13,1,13.0,0.0,0.0,14.0,1.0,0.0,3.71,1
162,The Drifters,1988.0,2,1,13.0,0.0,1.0,36.0,1.0,0.0,3.1,1
163,Ritchie Valens,2001.0,15,3,13.0,0.0,0.0,5.0,2.0,0.0,3.33,1
164,Jimmy Cliff,2010.0,17,1,13.0,0.0,0.0,3.0,18.0,0.0,3.2,1
165,Sam & Dave,1992.0,0,1,12.0,0.0,0.0,13.0,2.0,0.0,3.7,1
166,The Paul Butterfield Blues Band,2015.0,26,4,12.0,0.0,1.0,0.0,0.0,0.0,4.0,1
167,The Staple Singers,1999.0,13,1,12.0,0.0,0.0,15.0,1.0,0.0,3.69,1
168,Gene Pitney,2002.0,15,8,12.0,0.0,0.0,23.0,2.0,0.0,2.98,1
169,Little Willie John,1996.0,10,8,11.0,0.0,0.0,14.0,13.0,0.0,3.28,1
170,Brenda Lee,2002.0,16,3,11.0,0.0,0.0,52.0,1.0,0.0,3.33,1
171,Albert King,2013.0,25,1,11.0,0.0,1.0,2.0,67.0,0.0,3.07,1
172,The Shirelles,1996.0,9,3,10.0,0.0,0.0,26.0,1.0,0.0,3.18,1
173,LaVern Baker,1991.0,5,6,9.0,0.0,0.0,19.0,6.0,0.0,3.57,1
174,Duane Eddy,1994.0,8,8,9.0,0.0,0.0,27.0,4.0,0.0,2.79,1
175,Grandmaster Flash & the Furious Five,2007.0,2,3,7.0,0.0,0.0,2.0,62.0,0.0,2.75,1
176,Hank Ballard,1990.0,4,5,7.0,0.0,0.0,13.0,6.0,0.0,3.06,1
177,Little Anthony & the Imperials,2009.0,23,1,6.0,0.0,0.0,19.0,4.0,0.0,3.11,1
178,The Coasters,1987.0,1,2,6.0,0.0,0.0,19.0,1.0,0.0,3.3,1
179,Lloyd Price,1998.0,12,7,0.0,0.0,0.0,10.0,1.0,0.0,3.22,1
180,The Moonglows,2000.0,14,6,0.0,0.0,0.0,3.0,20.0,0.0,3.67,1
181,The Flamingos,2001.0,15,5,0.0,0.0,0.0,11.0,11.0,0.0,3.5,1
182,Bobby Darin,1990.0,4,5,14.0,0.0,0.0,41.0,1.0,0.0,2.98,1
183,Clyde McPhatter,1987.0,1,2,14.0,0.0,0.0,21.0,6.0,0.0,3.29,1
184,Carl Perkins,1987.0,1,2,14.0,0.0,0.0,5.0,2.0,0.0,3.44,1
185,The Ronettes,2007.0,18,1,15.0,0.0,1.0,8.0,2.0,0.0,3.5,1
186,Patti Smith,2007.0,6,7,21.0,0.0,1.0,2.0,13.0,1.0,3.71,1
187,Jerry Lee Lewis,1986.0,0,1,20.0,0.0,1.0,18.0,2.0,1.0,3.39,1
188,Little Richard,1986.0,0,1,19.0,0.0,1.0,21.0,6.0,2.0,3.5,1
189,Bobby Womack,2009.0,16,1,19.0,0.0,0.0,14.0,10.0,0.0,3.32,1
190,Frankie Lymon and the Teenagers,1993.0,7,8,0.0,0.0,0.0,5.0,13.0,0.0,3.25,1
191,Fats Domino,1986.0,0,1,18.0,0.0,0.0,66.0,2.0,1.0,3.25,1
192,Dr. John,2011.0,17,1,18.0,0.0,2.0,4.0,9.0,0.0,3.54,1
193,Bo Diddley,1987.0,1,1,17.0,0.0,1.0,5.0,20.0,0.0,3.19,1
