,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score
188,Little Richard,1986,0,1,19.0,0.0,1.0,21.0,6.0,2.0,3.5
189,Bobby Womack,2009,16,1,19.0,0.0,,14.0,10.0,,3.32
190,Frankie Lymon and the Teenagers,1993,7,8,0.0,0.0,,5.0,13.0,,3.25
191,Fats Domino,1986,0,1,18.0,0.0,,66.0,2.0,1.0,3.25
192,Dr. John,2011,17,1,18.0,0.0,2.0,4.0,9.0,,3.54
193,Bo Diddley,1987,1,1,17.0,0.0,1.0,5.0,20.0,,3.19
194,Jackie Wilson,1987,1,2,16.0,0.0,1.0,53.0,4.0,,3.39
195,Wilson Pickett,1991,2,3,15.0,0.0,,38.0,6.0,,3.18
196,Bill Haley,1987,1,2,14.0,0.0,,22.0,1.0,,2.94
197,Big Joe Turner,1987,1,2,15.0,0.0,,2.0,41.0,,3.33
198,Gene Vincent,1998,12,7,15.0,0.0,,5.0,7.0,,3.38
199,Jimmy Reed,1991,5,6,15.0,0.0,,12.0,32.0,,3.67
200,Ruth Brown,1993,7,6,15.0,0.0,,7.0,24.0,,3.27
201,The Dells,2004,13,3,15.0,0.0,,24.0,10.0,,3.19
202,The Impressions,1991,2,3,15.0,0.0,1.0,38.0,4.0,,3.4
203,Laura Nyro,2012,19,3,14.0,0.0,,1.0,92.0,,3.75
204,Booker T. and the M.G.'s,1992,4,3,14.0,0.0,,17.0,3.0,,3.33
205,Bobby Darin,1990,4,5,14.0,0.0,,41.0,1.0,,2.98
206,John Lee Hooker,1991,5,1,19.0,0.0,1.0,1.0,60.0,,3.49
207,Dion,1989,3,3,13.0,,,30.0,1.0,,3.19
208,Traffic,2004,11,1,15.0,,,3.0,74.0,,3.69
209,Eddie Cochran,1987,1,2,15.0,,,7.0,8.0,,3.29
210,Etta James,1993,7,2,21.0,,1.0,26.0,23.0,,3.36
211,Tom Waits,2011,12,1,134.0,,3.0,,,,3.91
212,Bob Marley,1994,3,2,165.0,,5.0,1.0,51.0,3.0,4.35
213,Sam Cooke,1986,0,1,178.0,,2.0,43.0,1.0,1.0,3.5
