,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,Spotify,In_Out
134,The Dave Clark Five,2008.0,20,3,8.0,1.0,0.0,24,1,0.0,2.88,18372,1
135,The Platters,1990.0,4,3,10.0,1.0,0.0,40,1,0.0,3.0,1242818,1
136,The Byrds,1991.0,0,1,360.0,1.0,4.0,16,1,0.0,3.88,1373530,1
137,Sex Pistols,2006.0,4,5,239.0,1.0,1.0,0,0,0.0,5.0,868298,1
138,Ramones,2002.0,0,1,258.0,1.0,2.0,3,66,1.0,3.46,2286211,1
139,The Small Faces/The Faces,2012.0,20,1,47.0,0.5,0.0,4,16,0.0,4.25,1880534,1
140,Randy Newman,2013.0,22,2,13.0,0.5,3.0,3,2,0.0,4.14,1513148,1
141,Martha and the Vandellas,1995.0,6,3,2.0,0.5,0.0,23,2,0.0,3.25,1905655,1
142,"Bobby ""Blue"" Bland",1992.0,6,6,11.0,0.5,1.0,37,20,0.0,3.08,399171,1
143,Ricky Nelson,1987.0,1,2,13.0,0.5,0.0,53,1,0.0,3.02,597044,1
144,Lovin' Spoonful,2000.0,9,1,13.0,0.5,0.0,14,1,0.0,3.5,954903,1
145,The Everly Brothers,1986.0,0,1,16.0,0.5,0.0,38,1,1.0,3.29,1211174,1
146,Buddy Guy,2005.0,12,1,18.0,0.5,0.0,0,0,1.0,3.38,564285,1
147,Chuck Berry,1986.0,0,1,228.0,0.5,1.0,27,1,4.0,3.53,2806190,1
148,The Animals,1994.0,4,3,14.0,0.5,0.0,19,1,0.0,3.22,3802205,1
149,Ike and Tina Turner,1991.0,5,5,15.0,0.5,1.0,20,4,0.0,2.81,894156,1
150,Frank Zappa,1995.0,3,3,161.0,0.5,2.0,3,32,2.0,3.71,628881,1
151,The Four Tops,1990.0,4,2,16.0,0.5,0.0,43,1,0.0,3.0,2582240,1
152,The Hollies,2010.0,20,1,16.0,0.5,0.0,23,2,0.0,3.1,1985265,1
153,The Stooges,2010.0,15,8,285.0,0.0,3.0,0,0,0.0,4.3,655922,1
154,Muddy Waters,1987.0,1,2,200.0,0.0,3.0,0,0,0.0,3.46,669735,1
155,The Velvet Underground,1996.0,4,5,425.0,0.0,4.0,0,0,0.0,4.3,1800648,1
156,Del Shannon,1999.0,13,7,0.0,0.0,0.0,17,1,0.0,3.44,425310,1
157,The Yardbirds,1992.0,2,3,142.0,0.0,2.0,9,6,0.0,3.58,826084,1
158,Darlene Love,2011.0,22,3,0.0,0.0,0.0,4,26,0.0,3.58,230499,1
159,Nina Simone,2018.0,32,1,28.0,0.0,0.0,6,18,0.0,3.36,3536005,1
160,Dusty Springfield,1999.0,9,2,24.0,0.0,1.0,19,2,0.0,3.58,2409782,1
161,Percy Sledge,2005.0,13,1,13.0,0.0,0.0,14,1,0.0,3.71,1112511,1
162,Jimmy Cliff,2010.0,17,1,13.0,0.0,0.0,3,18,0.0,3.2,1534879,1
163,The Drifters,1988.0,2,1,13.0,0.0,1.0,36,1,0.0,3.1,1371231,1
164,Ritchie Valens,2001.0,15,3,13.0,0.0,0.0,5,2,0.0,3.33,996697,1
165,The Paul Butterfield Blues Band,2015.0,26,4,12.0,0.0,1.0,0,0,0.0,4.0,59087,1
166,Sam & Dave,1992.0,0,1,12.0,0.0,0.0,13,2,0.0,3.7,1508788,1
167,Gene Pitney,2002.0,15,8,12.0,0.0,0.0,23,2,0.0,2.98,166221,1
168,The Staple Singers,1999.0,13,1,12.0,0.0,0.0,15,1,0.0,3.69,1105151,1
169,Little Willie John,1996.0,10,8,11.0,0.0,0.0,14,13,0.0,3.28,57855,1
170,Brenda Lee,2002.0,16,3,11.0,0.0,0.0,52,1,0.0,3.33,862107,1
171,Albert King,2013.0,25,1,11.0,0.0,1.0,2,67,0.0,3.07,328577,1
172,The Shirelles,1996.0,9,3,10.0,0.0,0.0,26,1,0.0,3.18,894498,1
173,LaVern Baker,1991.0,5,6,9.0,0.0,0.0,19,6,0.0,3.57,178226,1
174,Duane Eddy,1994.0,8,8,9.0,0.0,0.0,27,4,0.0,2.79,161195,1
175,Grandmaster Flash & the Furious Five,2007.0,2,3,7.0,0.0,0.0,2,62,0.0,2.75,763943,1
176,Hank Ballard,1990.0,4,5,7.0,0.0,0.0,13,6,0.0,3.06,41103,1
177,Little Anthony & the Imperials,2009.0,23,1,6.0,0.0,0.0,19,4,0.0,3.11,186750,1
178,The Coasters,1987.0,1,2,6.0,0.0,0.0,19,1,0.0,3.3,5941,1
179,Lloyd Price,1998.0,12,7,0.0,0.0,0.0,10,1,0.0,3.22,207132,1
180,The Moonglows,2000.0,14,6,0.0,0.0,0.0,3,20,0.0,3.67,52124,1
181,The Flamingos,2001.0,15,5,0.0,0.0,0.0,11,11,0.0,3.5,211618,1
182,Clyde McPhatter,1987.0,1,2,14.0,0.0,0.0,21,6,0.0,3.29,63042,1
183,Carl Perkins,1987.0,1,2,14.0,0.0,0.0,5,2,0.0,3.44,205680,1
184,Solomon Burke,2001.0,15,10,14.0,0.0,0.0,26,22,0.0,3.38,885143,1
185,The Ronettes,2007.0,18,1,15.0,0.0,1.0,8,2,0.0,3.5,1409643,1
186,Patti Smith,2007.0,6,7,21.0,0.0,1.0,2,13,1.0,3.71,1185250,1
187,Jerry Lee Lewis,1986.0,0,1,20.0,0.0,1.0,18,2,1.0,3.39,939109,1
188,Little Richard,1986.0,0,1,19.0,0.0,1.0,21,6,2.0,3.5,1164440,1
189,Bobby Womack,2009.0,16,1,19.0,0.0,0.0,14,10,0.0,3.32,1004208,1
190,Frankie Lymon and the Teenagers,1993.0,7,8,0.0,0.0,0.0,5,13,0.0,3.25,579417,1
191,Fats Domino,1986.0,0,1,18.0,0.0,0.0,66,2,1.0,3.25,747691,1
192,Dr. John,2011.0,17,1,18.0,0.0,2.0,4,9,0.0,3.54,787722,1
193,Bo Diddley,1987.0,1,1,17.0,0.0,1.0,5,20,0.0,3.19,343590,1
194,Jackie Wilson,1987.0,1,2,16.0,0.0,1.0,53,4,0.0,3.39,2028509,1
195,Wilson Pickett,1991.0,2,3,15.0,0.0,0.0,38,6,0.0,3.18,1448257,1
196,Bill Haley,1987.0,1,2,14.0,0.0,0.0,22,1,0.0,2.94,633872,1
197,Big Joe Turner,1987.0,1,2,15.0,0.0,0.0,2,41,0.0,3.33,154199,1
198,Gene Vincent,1998.0,12,7,15.0,0.0,0.0,5,7,0.0,3.38,345549,1
199,Jimmy Reed,1991.0,5,6,15.0,0.0,0.0,12,32,0.0,3.67,199239,1
200,Ruth Brown,1993.0,7,6,15.0,0.0,0.0,7,24,0.0,3.27,83236,1
201,The Dells,2004.0,13,3,15.0,0.0,0.0,24,10,0.0,3.19,152382,1
202,The Impressions,1991.0,2,3,15.0,0.0,1.0,38,4,0.0,3.4,469329,1
203,Laura Nyro,2012.0,19,3,14.0,0.0,0.0,1,92,0.0,3.75,50300,1
204,Booker T. and the M.G.'s,1992.0,4,3,14.0,0.0,0.0,17,3,0.0,3.33,1056025,1
205,Bobby Darin,1990.0,4,5,14.0,0.0,0.0,41,1,0.0,2.98,1301176,1
206,John Lee Hooker,1991.0,5,1,19.0,0.0,1.0,1,60,0.0,3.49,643506,1
207,Dion,1989.0,3,3,13.0,0.0,0.0,30,1,0.0,3.19,2085357,1
208,Traffic,2004.0,11,1,15.0,0.0,0.0,3,74,0.0,3.69,690069,1
209,Eddie Cochran,1987.0,1,2,15.0,0.0,0.0,7,8,0.0,3.29,564765,1
210,Etta James,1993.0,7,2,21.0,0.0,1.0,26,23,0.0,3.36,2626304,1
211,Tom Waits,2011.0,12,1,134.0,0.0,3.0,0,0,0.0,3.91,989244,1
212,Bob Marley,1994.0,3,2,165.0,0.0,5.0,1,51,3.0,4.35,9319482,1
213,Sam Cooke,1986.0,0,1,178.0,0.0,2.0,43,1,1.0,3.5,3516688,1
214,Whitney Houston,0.0,10,0,35.0,58.5,1.0,44,1,2.0,3.34,10097654,0
215,Foreigner,0.0,16,0,10.0,37.5,0.0,22,1,0.0,3.33,4433917,0
216,Phil Collins,0.0,12,0,10.0,33.5,0.0,27,1,2.0,3.69,9088326,0
217,Willie Nelson,0.0,32,0,19.0,31.5,2.0,10,5,1.0,3.37,2402084,0
218,Boston,0.0,17,0,13.0,31.0,0.0,10,1,0.0,3.17,3549556,0
219,Ozzy Osbourne,0.0,14,0,14.0,27.25,0.0,5,8,4.0,3.59,3708267,0
220,Motley Crue,0.0,13,0,15.0,25.0,0.0,13,6,2.0,3.44,3052751,0
221,The Carpenters,0.0,25,0,10.0,24.5,1.0,28,1,1.0,3.23,1812527,0
222,The Doobie Brothers,0.0,23,0,10.0,22.0,0.0,27,1,1.0,3.32,3815088,0
223,Smashing Pumpkins,0.0,3,0,15.0,19.75,1.0,8,12,3.0,3.78,4916183,0
224,Sting,0.0,11,1,16.0,18.0,0.0,18,1,6.0,3.54,4174313,0
225,The Monkees,0.0,28,0,11.0,18.0,0.0,21,1,0.0,3.54,2274105,0
226,Styx,0.0,21,0,13.0,17.5,0.0,23,1,0.0,3.06,1872138,0
227,Stone Temple Pilots,0.0,1,0,6.0,17.5,0.0,1,78,1.0,3.63,3147186,0
228,Bad Company,0.0,20,0,15.0,15.5,0.0,17,5,1.0,2.77,1549775,0
229,Kansas,0.0,19,0,10.0,15.5,0.0,14,6,0.0,3.07,4444537,0
230,George Michael,0.0,7,0,19.0,15.0,1.0,18,1,1.0,3.44,7091688,0
231,INXS,0.0,14,0,15.0,15.0,0.0,18,1,0.0,2.91,3162727,0
232,Carole King,0.0,35,1,23.0,14.5,1.0,18,1,0.0,2.85,2125692,0
233,Alice In Chains,0.0,3,0,19.0,12.5,0.0,1,92,1.0,3.75,3221201,0
234,Cher,0.0,28,0,7.0,12.5,0.0,51,1,0.0,2.86,6616260,0
235,Pat Benatar,0.0,15,0,11.0,12.5,0.0,17,5,1.0,3.09,2396211,0
236,Duran Duran,0.0,13,0,22.0,12.0,0.0,21,1,2.0,2.79,3943753,0
237,Jethro Tull,0.0,26,0,15.0,11.0,1.0,7,11,1.0,2.98,1043420,0
238,Barry White,0.0,21,0,13.0,11.0,1.0,15,1,0.0,3.3,2085449,0
239,Scorpions,0.0,21,0,10.0,10.5,0.0,6,4,0.0,3.38,5470762,0
240,Nine Inch Nails,0.0,5,2,30.0,10.5,1.0,8,17,3.0,3.79,2156426,0
241,Depeche Mode,0.0,13,2,120.0,10.5,1.0,18,8,0.0,3.93,5193773,0
242,Peter Frampton,0.0,21,0,6.0,10.0,0.0,8,2,3.0,3.03,1400314,0
243,Tina Turner,0.0,20,0,19.0,10.0,0.0,17,1,7.0,3.0,4127588,0
244,Judas Priest,0.0,20,1,48.0,9.5,0.0,1,67,0.0,3.45,2229360,0
245,Soundgarden,0.0,8,0,17.0,9.0,1.0,1,96,2.0,3.63,3951607,0
246,Carly Simon,0.0,22,0,14.0,8.5,0.0,23,1,5.0,3.12,2265116,0
247,Ice Cube,0.0,3,0,14.0,8.5,0.0,9,15,1.0,3.56,4907417,0
248,Salt-N-Pepa,0.0,7,0,11.0,8.0,0.0,11,3,1.0,3.4,2368818,0
249,Weird Al Yankovic,0.0,14,0,10.0,8.0,0.0,10,9,0.0,3.25,518889,0
250,"Peter, Paul & Mary",0.0,32,0,7.0,8.0,0.0,0,0,0.0,3.2,455228,0
251,Three Dog Night,0.0,25,0,3.0,8.0,0.0,21,1,1.0,3.43,1225093,0
252,Toto,0.0,15,0,10.0,7.5,0.0,14,1,0.0,2.88,9950966,0
253,Steve Winwood,0.0,22,1,16.0,7.5,0.0,15,1,2.0,3.5,2092142,0
254,Pantera,0.0,11,0,23.0,7.0,0.0,0,0,0.0,3.28,2561717,0
255,Iron Maiden,0.0,15,0,42.0,6.5,0.0,0,0,0.0,3.59,3935147,0
256,Megadeth,0.0,9,0,15.0,6.5,0.0,1,71,0.0,3.31,1989624,0
257,The B-52's,0.0,15,0,12.0,6.5,1.0,8,3,1.0,3.71,1550419,0
258,Eurythmics,0.0,13,1,16.0,6.5,1.0,15,1,1.0,3.22,6313873,0
259,Phish,0.0,5,0,9.0,5.5,0.0,0,0,2.0,3.58,366730,0
260,Conway Twitty,0.0,34,1,19.0,5.5,0.0,20,1,0.0,2.88,707668,0
261,War,0.0,23,3,13.0,5.5,1.0,16,2,0.0,2.84,1339685,0
262,The Commodores,0.0,20,0,11.0,5.0,0.0,25,1,0.0,3.11,3246432,0
263,"Emerson, Lake & Palmer",0.0,24,0,15.0,4.5,0.0,0,0,0.0,3.18,367985,0
264,Steppenwolf,0.0,26,1,14.0,4.5,0.0,13,2,0.0,2.82,2775631,0
265,Jane's Addiction,0.0,7,1,21.0,4.0,1.0,1,72,2.0,3.8,1139825,0
266,The J. Geils Band,0.0,23,5,9.0,3.5,0.0,17,1,2.0,3.71,1479950,0
267,Ice-T,0.0,11,0,13.0,3.5,0.0,2,67,1.0,3.25,258107,0
268,Chaka Khan,0.0,15,2,25.0,2.5,0.0,11,3,0.0,3.46,2346894,0
269,Jim Croce,0.0,28,0,5.0,2.5,0.0,10,1,0.0,3.0,1663484,0
270,The Go-Gos,0.0,13,0,10.0,2.5,0.0,7,2,0.0,3.25,493850,0
271,Bjork,0.0,17,0,123.0,2.5,1.0,2,84,0.0,3.9,1270544,0
272,Chic,0.0,17,11,25.0,2.5,0.0,10,1,0.0,3.25,2350153,0
273,Rick James,0.0,15,0,16.0,2.5,0.0,11,13,0.0,3.33,1684404,0
274,The Spinners,0.0,33,3,14.0,2.5,0.0,29,1,0.0,3.06,1596514,0
275,New Order,0.0,13,0,182.0,2.0,1.0,6,28,0.0,3.89,3458372,0
276,Los Lobos,0.0,15,1,7.0,2.0,1.0,3,1,0.0,3.68,764613,0
277,Eric B. & Rakim,0.0,8,1,17.0,2.0,1.0,1,96,0.0,4.25,796112,0
278,John Coltrane,0.0,38,0,315.0,2.0,2.0,0,0,0.0,4.25,1971686,0
279,Slayer,0.0,11,0,134.0,2.0,0.0,0,0,0.0,3.43,1500214,0
280,De La Soul,0.0,6,0,26.0,1.5,1.0,4,14,1.0,3.69,444483,0
281,Faith No More,0.0,9,0,23.0,1.5,0.0,3,9,0.0,3.93,1831877,0
282,Joe Cocker,0.0,24,0,7.0,1.5,0.0,21,5,2.0,2.96,2701556,0
283,Peter Tosh,0.0,17,0,15.0,1.5,0.0,2,81,0.0,3.5,883017,0
